,0,,,0.2,,,0.4,,,0.6,,,0.8,,,1.0,,,1.2,,,1.4,,,1.6,,,1.8,,,2,,
src\input_graphs\exact_011.gr,4261700,49,38,1499600,49,38,1550800,49,38,1443600,49,38,1308300,49,38,912600,49,38,893000,49,38,948500,49,38,907600,49,38,943600,49,38,764400,49,38
src\input_graphs\exact_015.gr,1533800,130,77,1328900,130,75,1116400,128,68,1511900,128,64,882800,134,75,879700,134,75,849400,134,75,760700,134,75,1006200,134,75,1182800,134,75,922700,134,75
src\input_graphs\exact_005.gr,654600,132,89,795300,130,74,890400,126,60,567500,125,57,563900,125,55,736400,126,55,616200,126,55,1091700,126,55,595400,126,55,648100,126,55,597000,126,55
src\input_graphs\exact_021.gr,1531500,192,46,1436100,192,46,1498000,192,46,1326300,192,46,1331400,192,46,1284200,192,46,2397300,192,46,1915400,192,46,1274300,192,46,2150400,192,46,2087000,192,46
src\input_graphs\exact_009.gr,3409900,777,241,2988100,774,230,5615300,752,167,2699300,670,110,3214500,661,100,3096300,660,96,2233100,660,96,2514900,660,96,1921800,660,96,2335300,660,96,2376600,660,96
src\input_graphs\exact_001.gr,2427700,815,115,2005200,815,115,1416600,815,115,1542100,815,115,1694100,815,115,2093600,815,115,2152000,815,115,1363100,815,115,2789300,815,115,2150300,815,115,2183300,815,115
src\input_graphs\exact_013.gr,46067000,17077,4992,41986300,17076,4989,47865900,17034,4903,47086200,17162,4876,38921300,17099,4750,31264800,16245,3562,25974100,15960,3321,24985100,15917,3283,26098800,15817,2729,27481200,15834,2674,28185400,15793,2556
src\input_graphs\exact_023.gr,77391200,51201,10647,78349000,50779,9534,73566600,50596,8921,73458100,49723,3398,72510500,49722,3398,82267900,49722,3398,80243700,49722,3398,78034200,49722,3398,81476300,49722,3398,74549500,49722,3398,75501200,49722,3398
src\input_graphs\exact_004.gr,197700,14,19,192700,14,19,155600,14,19,149100,14,19,152000,14,19,170300,14,19,152100,14,19,162200,14,19,149900,14,19,148200,14,19,196900,14,19
src\input_graphs\exact_006.gr,280300,89,29,321500,89,29,375900,89,29,252600,89,29,261700,89,29,295000,89,29,269500,89,29,253400,89,29,389000,89,29,319700,89,29,287100,89,29
src\input_graphs\exact_008.gr,216300,25,21,195400,25,21,269200,25,21,227000,25,21,198800,25,21,203100,25,21,205700,25,21,199900,25,21,239700,25,21,235500,25,21,172200,25,21
src\input_graphs\exact_012.gr,37913800,28373,8167,38861300,28314,7657,35883700,27614,5899,39789200,26345,2680,36766400,26337,2656,36135300,26412,2650,34385000,26412,2650,34515600,26412,2650,36473800,26412,2650,34844000,26412,2650,34196400,26412,2650
src\input_graphs\exact_022.gr,460700,95,50,468500,95,50,448200,95,50,352800,95,50,346000,95,50,353300,95,50,343500,95,50,361000,95,50,347600,95,50,389300,95,50,355000,95,50
src\famous_graphs\Bull.edge,108800,6,5,100900,6,5,100200,6,5,121900,6,5,96600,6,5,100900,6,5,106300,6,5,135200,6,5,93600,6,5,104200,6,5,92500,6,5
src\famous_graphs\Butterfly.edge,98500,7,5,108700,7,5,94800,7,5,114200,7,5,110300,7,5,97400,7,5,152200,7,5,196300,7,5,104600,7,5,114300,7,5,105800,7,5
src\famous_graphs\Chvatal.edge,61585300,59653,10133,58151900,59653,10133,63363800,59653,10133,58924000,59653,10133,59633600,59653,10133,58211900,59653,10133,57349300,59653,10133,57988200,59653,10133,56738700,59653,10133,58926300,59653,10133,57388800,59653,10133
src\famous_graphs\Diamond.edge,200300,6,4,109600,6,4,124700,6,4,97100,6,4,144400,6,4,164200,6,4,109000,6,4,128000,6,4,119100,6,4,142500,6,4,238800,6,4
src\famous_graphs\Durer.edge,10648800,10027,1704,12757000,10027,1704,10363100,10027,1704,10265400,10027,1704,10698300,10027,1704,10612100,10027,1704,10078000,10027,1704,10487500,10027,1704,10262100,10027,1704,10284500,10027,1704,10344200,10027,1704
