graph,edges,vertices,normal,,,closest,,
src\input_graphs\exact_011.gr,24,23,1245850,50,43,3958100,54,55
src\input_graphs\exact_015.gr,30,26,958530,129,70,2452300,132,86
src\input_graphs\exact_005.gr,21,20,615620,131,82,1716000,150,115
src\input_graphs\exact_021.gr,38,29,1582750,212,94,3713400,229,136
src\input_graphs\exact_009.gr,25,21,2539990,721,164,4798900,779,247
src\input_graphs\exact_001.gr,15,10,1762260,815,115,3204400,815,116
src\input_graphs\exact_013.gr,46,25,32287210,16591,3665,51563000,17190,5069
src\input_graphs\exact_023.gr,38,30,71635910,50487,7407,102085900,51394,12340
src\input_graphs\exact_004.gr,18,18,219950,14,20,530100,14,22
src\input_graphs\exact_006.gr,24,20,279350,93,34,789500,97,37
src\input_graphs\exact_008.gr,39,20,211320,25,21,801500,25,21
src\input_graphs\exact_012.gr,28,24,34444280,27285,5234,48202800,28441,8502
src\input_graphs\exact_022.gr,47,29,359080,96,51,660300,99,64
src\famous_graphs\Bull.edge,5,5,494510,6,5,1740800,6,5
src\famous_graphs\Butterfly.edge,6,5,321750,7,5,581000,7,5
src\famous_graphs\Chvatal.edge,24,12,69617820,59653,10536,153450900,59653,10973
src\famous_graphs\Diamond.edge,5,4,169600,6,4,333500,6,4
src\famous_graphs\Durer.edge,18,12,12340580,10057,1792,19661300,10087,1945
src\famous_graphs\Franklin.edge,18,12,8917170,8988,1522,16017600,9060,1704
src\famous_graphs\Frucht.edge,18,12,1991680,1803,281,3939100,1809,298
src\famous_graphs\Goldner.edge,27,11,241060,42,19,693600,42,19
src\famous_graphs\Grotzsch.edge,20,11,6737140,7496,1842,12067300,7496,2149
src\famous_graphs\Herschel.edge,18,11,266850,49,15,679400,49,15
src\famous_graphs\Hoffman.edge,32,16,1874370600,1651206,203813,1991943500,1651206,207891
src\famous_graphs\Moser.edge,11,7,233090,80,31,250200,83,36
src\famous_graphs\Petersen.edge,15,10,936890,806,114,915300,806,114
src\famous_graphs\Pmin.edge,12,9,228200,80,18,237900,80,18
src\famous_graphs\Prism.edge,9,6,175650,72,30,201100,72,30
src\famous_graphs\Sousselier.edge,27,16,469702730,382289,37380,470764500,382286,38732
src\famous_graphs\Tietze.edge,18,12,11073130,10387,1639,10264200,10476,1851
src\famous_graphs\Wagner.edge,12,8,443070,379,141,538700,379,166
