file,,edges,vertices,all,,,w/o re-order all,,,w/o re-order start,,,w/o re-order,,,w/o simple lb,,,w/o path lb,,,w/o dom rule,,
src/input_graphs/exact_011.gr,normal,24,23,1263080,46,43,987960,60,48,3273310,207,68,2762530,365,130,1350870,121,86,1497570,165,65,849600,49,38
src/input_graphs/exact_015.gr,normal,30,26,771060,84,71,707450,82,68,1698190,125,86,1500350,214,130,1006110,151,115,1063300,134,87,872040,129,74
src/input_graphs/exact_005.gr,normal,21,20,470890,117,78,492970,146,92,1039280,153,94,562960,180,112,652140,225,164,701270,151,88,450260,135,82
src/input_graphs/exact_021.gr,normal,38,29,994520,209,89,719010,128,55,4291340,730,127,10884870,2550,266,1781910,428,143,3317130,745,131,936370,229,91
src/input_graphs/exact_009.gr,normal,25,21,1515720,616,160,1588540,712,194,3701470,991,223,3719690,1984,452,2576300,1783,629,5439530,2638,414,1435960,712,161
src/input_graphs/exact_013.gr,normal,46,25,27090850,16613,3700,29464660,16311,3509,108892980,34656,4653,96771590,47642,6263,45239180,32135,8065,137002570,73279,11336,79606700,61989,8056
src/input_graphs/exact_023.gr,normal,38,30,96338850,44087,7141,813163970,383461,61456,1925273270,502643,81994,330154660,156090,25265,1830364460,1390531,224519,145387480,66272,11206,81403950,50483,7463
src/input_graphs/exact_004.gr,normal,18,18,119020,15,21,115290,18,21,256060,24,21,174070,49,31,123700,18,25,129060,23,21,108510,14,20
src/input_graphs/exact_006.gr,normal,24,20,229770,70,31,249610,66,29,919780,281,51,2621950,1469,273,340580,121,54,651190,287,56,243650,93,33
src/input_graphs/exact_008.gr,normal,39,20,164600,25,21,163220,25,21,311740,26,21,313200,123,39,172680,25,21,314690,126,45,172100,34,21
src/input_graphs/exact_012.gr,normal,28,24,48075250,26049,5132,47826940,27310,5626,135778640,45030,7482,82518700,45303,7523,233596330,200338,48444,85829180,45952,7761,38223770,27291,5242
src/input_graphs/exact_022.gr,normal,47,29,346250,96,53,351830,112,62,1568480,419,87,5652490,2300,366,516400,166,81,930790,339,99,413050,164,58
src/input_graphs/exact_019.gr,normal,57,28,16484330,6029,1132,8699060,3110,479,18266430,5131,1055,86423250,40181,6389,24101480,17852,4300,532909560,211817,13214,18150870,15008,2074
src/input_graphs/exact_026.gr,normal,59,30,228170,20,30,232740,20,30,611490,101,55,1545130,700,241,271070,20,30,444360,118,72,228210,20,30
src\input_graphs\exact_014.gr,normal,52,25,19196089,5584,1096,15344280,5688,1133,82322459,25803,3766,137739829,62947,10591,16956350,6181,1401,42218680,18070,3394,43773580,24318,2335
src\input_graphs\exact_016.gr,normal,51,26,28609620,17184,3385,16114560,9692,1933,131340269,54166,5850,291930970,148490,16446,44193249,31341,7272,173239679,90442,12460,121023020,91735,9807
src\input_graphs\exact_037.gr,normal,48,39,33030540,13217,2992,27300760,11604,2727,388961320,112781,14382,455921890,151606,19416,100741660,70671,20398,323984220,116261,15260,34608300,17648,3309
src/input_graphs/exact_028.gr,normal,64,31,116082331600,51637533,5208438,41473271100,18737371,1731853,181509706400,57616526,4065015,56704821000,22873670,1552883,1127312216900,844679477,66872525,831235940100,369185795,28073709,402686909000,246109651,16139878
src\famous_graphs\Bull.edge,normal,5,5,529529,6,5,333830,6,5,687940,7,5,347189,7,5,340390,6,5,326530,6,5,302419,6,5
src\famous_graphs\Butterfly.edge,normal,6,5,314890,7,5,300239,7,5,584570,7,5,292809,7,5,291060,7,5,293550,9,6,293880,7,5
